path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata/web-samples/samples/xlsx/00010400.xlsx,.xlsx,true,false,2778014,0,,,1938,0,0,
testdata/web-samples/samples/xlsx/00012389.xlsx,.xlsx,true,false,11148655,0,,,3156,0,0,
testdata/web-samples/samples/xlsx/00012647.xlsx,.xlsx,true,false,2731103,1,,,628,0,0,
testdata/web-samples/samples/xlsx/00013260.xlsx,.xlsx,true,false,3130923,0,,,959,0,0,
testdata/web-samples/samples/xlsx/00013939.xlsx,.xlsx,true,false,3788530,0,,,671,0,0,
testdata/web-samples/samples/xlsx/00014857.xlsx,.xlsx,true,false,4016789,0,,,1064,0,0,
testdata/web-samples/samples/xlsx/00014878.xlsx,.xlsx,true,false,9879551,0,,,718,0,0,
testdata/web-samples/samples/xlsx/00014957.xlsx,.xlsx,true,false,4925019,0,,,1264,0,0,
testdata/web-samples/samples/xlsx/00014970.xlsx,.xlsx,true,false,4111885,0,,,778,0,0,
testdata/web-samples/samples/xlsx/00014984.xlsx,.xlsx,true,false,8624718,0,,,679,0,0,
testdata/web-samples/samples/xlsx/00014999.xlsx,.xlsx,true,false,4115251,0,,,772,0,0,
testdata/web-samples/samples/xlsx/00017009.xlsx,.xlsx,true,false,5313775,0,,,1652,0,0,
testdata/web-samples/samples/xlsx/00017663.xlsx,.xlsx,true,false,3288008,0,,,719,0,0,
testdata/web-samples/samples/xlsx/00018489.xlsx,.xlsx,true,false,4302221,0,,,668,0,0,
testdata/web-samples/samples/xlsx/00019224.xlsx,.xlsx,true,false,8968495,0,,,1085,0,0,
testdata/web-samples/samples/xlsx/142143-2.xlsx,.xlsx,true,false,3506734,0,,,769,0,0,
testdata/web-samples/samples/xlsx/142143.xlsx,.xlsx,true,false,3506734,0,,,902,0,0,
testdata/web-samples/samples/xlsx/212946-2.xlsx,.xlsx,true,false,2902112,0,,,283,0,0,
testdata/web-samples/samples/xlsx/219417-2.xlsx,.xlsx,true,false,3506734,0,,,842,0,0,
testdata/web-samples/samples/xlsx/219417.xlsx,.xlsx,true,false,3506734,0,,,867,0,0,
testdata/web-samples/samples/xlsx/apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,3298,0,0,
