path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\xlsx\00011560.xlsx,.xlsx,true,false,335049,0,,,154,0,0,
testdata\web-samples\samples\xlsx\00011596.xlsx,.xlsx,true,false,17773,0,,,5,0,0,
testdata\web-samples\samples\xlsx\00011597.xlsx,.xlsx,true,false,6512,0,,,2,0,0,
testdata\web-samples\samples\xlsx\00011598.xlsx,.xlsx,true,false,6711,0,,,2,0,0,
testdata\web-samples\samples\xlsx\00011606.xlsx,.xlsx,true,false,18032,0,,,7,0,0,
testdata\web-samples\samples\xlsx\00011617.xlsx,.xlsx,true,false,18036,0,,,7,0,0,
testdata\web-samples\samples\xlsx\00011633.xlsx,.xlsx,true,false,16972,0,,,5,0,0,
testdata\web-samples\samples\xlsx\00011636.xlsx,.xlsx,true,false,18277,0,,,6,0,0,
testdata\web-samples\samples\xlsx\00011637.xlsx,.xlsx,true,false,6694,0,,,3,0,0,
testdata\web-samples\samples\xlsx\00011638.xlsx,.xlsx,true,false,18788,0,,,5,0,0,
testdata\web-samples\samples\xlsx\00011661.xlsx,.xlsx,true,false,17677,0,,,6,0,0,
testdata\web-samples\samples\xlsx\00011678.xlsx,.xlsx,true,false,17919,0,,,6,0,0,
testdata\web-samples\samples\xlsx\00011714.xlsx,.xlsx,true,false,5692,22,,,3096,0,0,
testdata\web-samples\samples\xlsx\00011732.xlsx,.xlsx,true,false,732,0,,,7,0,0,
testdata\web-samples\samples\xlsx\00011735.xlsx,.xlsx,true,false,2416,0,,,1,0,0,
testdata\web-samples\samples\xlsx\00011744.xlsx,.xlsx,true,false,59667,0,,,47,0,0,
testdata\web-samples\samples\xlsx\00011759.xlsx,.xlsx,true,false,1776,0,,,6,0,0,
testdata\web-samples\samples\xlsx\00011840.xlsx,.xlsx,true,false,1657,0,,,4,0,0,
testdata\web-samples\samples\xlsx\00011877.xlsx,.xlsx,true,false,3771,1,,,7,0,0,
testdata\web-samples\samples\xlsx\00011902.xlsx,.xlsx,true,false,1848,0,,,1,0,0,
testdata\web-samples\samples\xlsx\00011977.xlsx,.xlsx,true,false,11406,0,,,17,0,0,
testdata\web-samples\samples\xlsx\00012034.xlsx,.xlsx,true,false,128729,0,,,93,0,0,
testdata\web-samples\samples\xlsx\00012039.xlsx,.xlsx,true,false,8564,0,,,4,0,0,
testdata\web-samples\samples\xlsx\00012041.xlsx,.xlsx,true,false,15511,0,,,7,0,0,
testdata\web-samples\samples\xlsx\00012042.xlsx,.xlsx,true,false,229034,0,,,575,0,0,
testdata\web-samples\samples\xlsx\00012043.xlsx,.xlsx,true,false,5077,0,,,7,0,0,
testdata\web-samples\samples\xlsx\00012046.xlsx,.xlsx,true,false,59484,0,,,26,0,0,
testdata\web-samples\samples\xlsx\00012054.xlsx,.xlsx,true,false,30129,0,,,31,0,0,
testdata\web-samples\samples\xlsx\00012066.xlsx,.xlsx,true,false,44419,0,,,23,0,0,
testdata\web-samples\samples\xlsx\00012113.xlsx,.xlsx,true,false,41755,0,,,10,0,0,
testdata\web-samples\samples\xlsx\00012124.xlsx,.xlsx,true,false,1892,1,,,9,0,0,
