path,ext,ok,empty,textBytes,images,error,panic,millis
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,4400
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,9572
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,2857
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,3528
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,2422
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,2215
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,2322
