path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\doc\000144-2.doc,.doc,true,false,7219,0,,,19,0,0,
testdata\web-samples\samples\doc\000144.doc,.doc,true,false,7219,0,,,22,0,0,
testdata\web-samples\samples\doc\000148-2.doc,.doc,true,false,76250,0,,,617,0,0,
testdata\web-samples\samples\doc\000148.doc,.doc,true,false,76250,0,,,609,0,0,
testdata\web-samples\samples\doc\000151-2.doc,.doc,true,false,1239,0,,,3,0,0,
testdata\web-samples\samples\doc\000151.doc,.doc,true,false,1239,0,,,4,0,0,
testdata\web-samples\samples\doc\000154-2.doc,.doc,true,false,40999,1,,,116,0,0,
testdata\web-samples\samples\doc\000154.doc,.doc,true,false,40999,1,,,104,0,0,
testdata\web-samples\samples\doc\000156-2.doc,.doc,true,false,4331,1,,,20,0,0,
testdata\web-samples\samples\doc\000156.doc,.doc,true,false,4331,1,,,19,0,0,
testdata\web-samples\samples\doc\000158-2.doc,.doc,true,false,20517,0,,,63,0,0,
testdata\web-samples\samples\doc\000158.doc,.doc,true,false,20517,0,,,66,0,0,
testdata\web-samples\samples\doc\000248-2.doc,.doc,true,false,20306,2,,,314,0,0,
testdata\web-samples\samples\doc\000248.doc,.doc,true,false,20306,2,,,343,0,0,
testdata\web-samples\samples\doc\000249-2.doc,.doc,true,false,4938,1,,,22,0,0,
testdata\web-samples\samples\doc\000249.doc,.doc,true,false,4938,1,,,21,0,0,
testdata\web-samples\samples\doc\000250-2.doc,.doc,true,false,31227,0,,,124,0,0,
testdata\web-samples\samples\doc\000250.doc,.doc,true,false,31227,0,,,122,0,0,
testdata\web-samples\samples\doc\000253-2.doc,.doc,true,false,28370,0,,,133,0,0,
testdata\web-samples\samples\doc\000253.doc,.doc,true,false,28370,0,,,116,0,0,
testdata\web-samples\samples\doc\000254-2.doc,.doc,true,false,20597,0,,,128,0,0,
testdata\web-samples\samples\doc\000254.doc,.doc,true,false,20597,0,,,136,0,0,
testdata\web-samples\samples\doc\000255-2.doc,.doc,true,false,4121,0,,,28,0,0,
testdata\web-samples\samples\doc\000255.doc,.doc,true,false,4121,0,,,29,0,0,
testdata\web-samples\samples\doc\000256-2.doc,.doc,true,false,791,0,,,2,0,0,
