path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata/web-samples/samples/xlsx/00010400.xlsx,.xlsx,true,false,2778014,0,,,858,0,0,
testdata/web-samples/samples/xlsx/00012389.xlsx,.xlsx,true,false,11148655,0,,,1633,0,0,
testdata/web-samples/samples/xlsx/00012647.xlsx,.xlsx,true,false,2731103,1,,,515,0,0,
testdata/web-samples/samples/xlsx/00013260.xlsx,.xlsx,true,false,3130923,0,,,814,0,0,
testdata/web-samples/samples/xlsx/00013939.xlsx,.xlsx,true,false,3788530,0,,,490,0,0,
testdata/web-samples/samples/xlsx/00014857.xlsx,.xlsx,true,false,4016789,0,,,932,0,0,
testdata/web-samples/samples/xlsx/00014878.xlsx,.xlsx,true,false,9879551,0,,,676,0,0,
testdata/web-samples/samples/xlsx/00014957.xlsx,.xlsx,true,false,4925019,0,,,943,0,0,
testdata/web-samples/samples/xlsx/00014970.xlsx,.xlsx,true,false,4111885,0,,,806,0,0,
testdata/web-samples/samples/xlsx/00014984.xlsx,.xlsx,true,false,8624718,0,,,865,0,0,
testdata/web-samples/samples/xlsx/00014999.xlsx,.xlsx,true,false,4115251,0,,,943,0,0,
testdata/web-samples/samples/xlsx/00017009.xlsx,.xlsx,true,false,5313775,0,,,1851,0,0,
testdata/web-samples/samples/xlsx/00017663.xlsx,.xlsx,true,false,3288008,0,,,845,0,0,
testdata/web-samples/samples/xlsx/00018489.xlsx,.xlsx,true,false,4302221,0,,,827,0,0,
testdata/web-samples/samples/xlsx/00019224.xlsx,.xlsx,true,false,8968495,0,,,1342,0,0,
testdata/web-samples/samples/xlsx/142143-2.xlsx,.xlsx,true,false,3506734,0,,,911,0,0,
testdata/web-samples/samples/xlsx/142143.xlsx,.xlsx,true,false,3506734,0,,,913,0,0,
testdata/web-samples/samples/xlsx/212946-2.xlsx,.xlsx,true,false,2902112,0,,,444,0,0,
testdata/web-samples/samples/xlsx/219417-2.xlsx,.xlsx,true,false,3506734,0,,,912,0,0,
testdata/web-samples/samples/xlsx/219417.xlsx,.xlsx,true,false,3506734,0,,,1169,0,0,
testdata/web-samples/samples/xlsx/apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,4757,0,0,
