path,ext,ok,empty,textBytes,images,error,panic,millis
testdata\web-samples\samples\pptx\00020342.pptx,.pptx,true,false,2893,8,,,33
testdata\web-samples\samples\pptx\00020360.pptx,.pptx,true,false,2178,1,,,10
testdata\web-samples\samples\pptx\00020361.pptx,.pptx,true,false,1729,2,,,16
testdata\web-samples\samples\pptx\00020376.pptx,.pptx,true,false,5632,3,,,46
testdata\web-samples\samples\pptx\00020381.pptx,.pptx,true,false,15175,2,,,155
testdata\web-samples\samples\pptx\00020382.pptx,.pptx,true,false,22577,2,,,292
testdata\web-samples\samples\pptx\00020384.pptx,.pptx,true,false,8893,1,,,184
testdata\web-samples\samples\pptx\00020397.pptx,.pptx,true,false,4077,2,,,303
testdata\web-samples\samples\pptx\00020398.pptx,.pptx,true,false,845,8,,,20
testdata\web-samples\samples\pptx\00020400.pptx,.pptx,true,false,5453,20,,,82
testdata\web-samples\samples\pptx\00020403.pptx,.pptx,true,false,5648,33,,,152
testdata\web-samples\samples\pptx\00020413.pptx,.pptx,true,false,2047,0,,,14
testdata\web-samples\samples\pptx\00020414.pptx,.pptx,true,false,8133,21,,,165
testdata\web-samples\samples\pptx\00020416.pptx,.pptx,true,false,19944,30,,,230
testdata\web-samples\samples\pptx\00020417.pptx,.pptx,true,false,8181,32,,,107
testdata\web-samples\samples\pptx\00020418.pptx,.pptx,true,false,13529,50,,,140
testdata\web-samples\samples\pptx\00020421.pptx,.pptx,true,false,5438,13,,,55
testdata\web-samples\samples\pptx\00020433.pptx,.pptx,true,false,16070,10,,,109
testdata\web-samples\samples\pptx\00020434.pptx,.pptx,true,false,98,1,,,10
testdata\web-samples\samples\pptx\00020438.pptx,.pptx,true,false,12304,52,,,116
testdata\web-samples\samples\pptx\00020445.pptx,.pptx,true,false,6203,2,,,68
testdata\web-samples\samples\pptx\00020454.pptx,.pptx,true,false,12115,4,,,86
testdata\web-samples\samples\pptx\00020457.pptx,.pptx,true,false,12448,36,,,91
testdata\web-samples\samples\pptx\00020467.pptx,.pptx,true,false,5184,17,,,41
testdata\web-samples\samples\pptx\00020468.pptx,.pptx,true,false,12424,0,,,81
testdata\web-samples\samples\pptx\00020469.pptx,.pptx,true,false,16598,71,,,134
testdata\web-samples\samples\pptx\00020470.pptx,.pptx,true,false,3750,24,,,63
testdata\web-samples\samples\pptx\00020474.pptx,.pptx,true,false,5220,30,,,225
testdata\web-samples\samples\pptx\00020478.pptx,.pptx,true,false,257,7,,,15
testdata\web-samples\samples\pptx\00020486.pptx,.pptx,true,false,701,4,,,5
testdata\web-samples\samples\pptx\00020488.pptx,.pptx,true,false,15087,35,,,154
testdata\web-samples\samples\pptx\00020516.pptx,.pptx,true,false,954,2,,,20
testdata\web-samples\samples\pptx\00020536.pptx,.pptx,true,false,1309,19,,,38
testdata\web-samples\samples\pptx\00020538.pptx,.pptx,true,false,4262,12,,,53
testdata\web-samples\samples\pptx\00020550.pptx,.pptx,true,false,25693,32,,,190
testdata\web-samples\samples\pptx\00020557.pptx,.pptx,true,false,12265,67,,,376
testdata\web-samples\samples\pptx\00020558.pptx,.pptx,true,false,23909,24,,,380
testdata\web-samples\samples\pptx\00020575.pptx,.pptx,true,false,3691,11,,,39
testdata\web-samples\samples\pptx\00020586.pptx,.pptx,true,false,9822,2,,,29
testdata\web-samples\samples\pptx\00020725.pptx,.pptx,true,false,75992,297,,,957
testdata\web-samples\samples\pptx\00020735.pptx,.pptx,true,false,11857,9,,,151
testdata\web-samples\samples\pptx\00020737.pptx,.pptx,true,false,5252,11,,,71
testdata\web-samples\samples\pptx\00020743.pptx,.pptx,true,false,341,12,,,14
testdata\web-samples\samples\pptx\00020751.pptx,.pptx,true,false,2935,17,,,47
testdata\web-samples\samples\pptx\00020758.pptx,.pptx,true,false,3074,30,,,56
testdata\web-samples\samples\pptx\00020759.pptx,.pptx,true,false,7532,15,,,69
testdata\web-samples\samples\pptx\00020796.pptx,.pptx,true,false,427,7,,,13
testdata\web-samples\samples\pptx\00020804.pptx,.pptx,true,false,4226,3,,,69
testdata\web-samples\samples\pptx\00020826.pptx,.pptx,true,false,11630,2,,,135
testdata\web-samples\samples\pptx\00020831.pptx,.pptx,true,false,15334,25,,,150
testdata\web-samples\samples\pptx\00020833.pptx,.pptx,true,false,14864,20,,,98
testdata\web-samples\samples\pptx\00020836.pptx,.pptx,true,false,257,19,,,31
testdata\web-samples\samples\pptx\00020839.pptx,.pptx,true,false,9257,21,,,59
testdata\web-samples\samples\pptx\00020856.pptx,.pptx,true,false,2444,7,,,44
testdata\web-samples\samples\pptx\00020867.pptx,.pptx,true,false,1441,8,,,17
testdata\web-samples\samples\pptx\00020876.pptx,.pptx,true,false,1170,22,,,51
testdata\web-samples\samples\pptx\00020917.pptx,.pptx,true,false,2038,13,,,42
testdata\web-samples\samples\pptx\00020922.pptx,.pptx,true,false,498,11,,,19
testdata\web-samples\samples\pptx\00020926.pptx,.pptx,true,false,20323,38,,,444
testdata\web-samples\samples\pptx\00020943.pptx,.pptx,true,false,6238,3,,,55
testdata\web-samples\samples\pptx\00020954.pptx,.pptx,true,false,7160,6,,,120
testdata\web-samples\samples\pptx\00020961.pptx,.pptx,true,false,1521,3,,,24
testdata\web-samples\samples\pptx\00020964.pptx,.pptx,true,false,7,2,,,18
testdata\web-samples\samples\pptx\00020976.pptx,.pptx,true,false,4574,4,,,39
testdata\web-samples\samples\pptx\00020977.pptx,.pptx,true,false,3599,17,,,55
testdata\web-samples\samples\pptx\00020985.pptx,.pptx,true,false,892,9,,,20
testdata\web-samples\samples\pptx\00021012.pptx,.pptx,true,false,14602,48,,,233
testdata\web-samples\samples\pptx\00021013.pptx,.pptx,true,false,4353,10,,,56
testdata\web-samples\samples\pptx\00021040.pptx,.pptx,true,false,4035,30,,,79
testdata\web-samples\samples\pptx\00021043.pptx,.pptx,true,false,2966,15,,,55
testdata\web-samples\samples\pptx\00021051.pptx,.pptx,true,false,1526,0,,,8
testdata\web-samples\samples\pptx\00021067.pptx,.pptx,true,false,14121,11,,,125
testdata\web-samples\samples\pptx\00021069.pptx,.pptx,true,false,1184,9,,,29
testdata\web-samples\samples\pptx\00021072.pptx,.pptx,true,false,1038,5,,,8
testdata\web-samples\samples\pptx\00021083.pptx,.pptx,true,false,2030,13,,,49
testdata\web-samples\samples\pptx\00021095.pptx,.pptx,true,false,22759,107,,,216
testdata\web-samples\samples\pptx\00021104.pptx,.pptx,true,false,5502,8,,,38
testdata\web-samples\samples\pptx\00021111.pptx,.pptx,true,false,31799,22,,,265
testdata\web-samples\samples\pptx\00021117.pptx,.pptx,true,false,22823,175,,,289
testdata\web-samples\samples\pptx\00021123.pptx,.pptx,true,false,11910,19,,,154
testdata\web-samples\samples\pptx\00021133.pptx,.pptx,true,false,8585,28,,,54
testdata\web-samples\samples\pptx\00021135.pptx,.pptx,true,false,7065,8,,,52
testdata\web-samples\samples\pptx\00021146.pptx,.pptx,true,false,6502,15,,,200
testdata\web-samples\samples\pptx\00021168.pptx,.pptx,true,false,5456,33,,,115
testdata\web-samples\samples\pptx\00021173.pptx,.pptx,true,false,12327,38,,,179
testdata\web-samples\samples\pptx\00021176.pptx,.pptx,true,false,5986,3,,,61
testdata\web-samples\samples\pptx\00021179.pptx,.pptx,true,false,3166,5,,,37
testdata\web-samples\samples\pptx\00021192.pptx,.pptx,true,false,16941,34,,,203
testdata\web-samples\samples\pptx\00021211.pptx,.pptx,true,false,11448,16,,,140
testdata\web-samples\samples\pptx\00021219.pptx,.pptx,true,false,21175,149,,,257
testdata\web-samples\samples\pptx\00021223.pptx,.pptx,true,false,4432,4,,,53
testdata\web-samples\samples\pptx\00021225.pptx,.pptx,true,false,13902,25,,,212
testdata\web-samples\samples\pptx\00021238.pptx,.pptx,true,false,5861,10,,,113
testdata\web-samples\samples\pptx\00021243.pptx,.pptx,true,false,4385,1,,,54
