path,ext,ok,empty,textBytes,images,error,panic,millis
testdata\web-samples\samples\doc\000156.doc,.doc,true,false,4331,1,,,21
testdata\web-samples\samples\doc\000158-2.doc,.doc,true,false,20517,0,,,53
testdata\web-samples\samples\doc\000158.doc,.doc,true,false,20517,0,,,48
testdata\web-samples\samples\doc\000248-2.doc,.doc,true,false,20306,2,,,228
testdata\web-samples\samples\doc\000248.doc,.doc,true,false,20306,2,,,221
testdata\web-samples\samples\doc\000249-2.doc,.doc,true,false,4938,1,,,15
testdata\web-samples\samples\doc\000249.doc,.doc,true,false,4938,1,,,14
testdata\web-samples\samples\doc\000250-2.doc,.doc,true,false,31227,0,,,87
testdata\web-samples\samples\doc\000250.doc,.doc,true,false,31227,0,,,93
testdata\web-samples\samples\doc\000253-2.doc,.doc,true,false,28370,0,,,100
testdata\web-samples\samples\doc\000253.doc,.doc,true,false,28370,0,,,94
testdata\web-samples\samples\doc\000254-2.doc,.doc,true,false,20597,0,,,93
testdata\web-samples\samples\doc\000254.doc,.doc,true,false,20597,0,,,95
testdata\web-samples\samples\doc\000255-2.doc,.doc,true,false,4121,0,,,22
testdata\web-samples\samples\doc\000255.doc,.doc,true,false,4121,0,,,20
testdata\web-samples\samples\doc\000256-2.doc,.doc,true,false,791,0,,,3
testdata\web-samples\samples\doc\000256.doc,.doc,true,false,791,0,,,2
testdata\web-samples\samples\doc\000259-2.doc,.doc,true,false,39699,1,,,117
testdata\web-samples\samples\doc\000259.doc,.doc,true,false,39699,1,,,122
testdata\web-samples\samples\doc\000260-2.doc,.doc,true,false,29742,1,,,93
testdata\web-samples\samples\doc\000260.doc,.doc,true,false,29742,1,,,86
testdata\web-samples\samples\doc\000261-2.doc,.doc,true,false,84108,21,,,228
testdata\web-samples\samples\doc\000261.doc,.doc,true,false,84108,21,,,231
testdata\web-samples\samples\doc\000264-2.doc,.doc,true,false,13845,0,,,54
testdata\web-samples\samples\doc\000264.doc,.doc,true,false,13845,0,,,50
testdata\web-samples\samples\doc\000265-2.doc,.doc,true,false,716,0,,,0
testdata\web-samples\samples\doc\000265.doc,.doc,true,false,716,0,,,4
testdata\web-samples\samples\doc\000267-2.doc,.doc,true,false,149188,1,,,726
testdata\web-samples\samples\doc\000267.doc,.doc,true,false,149188,1,,,723
testdata\web-samples\samples\doc\000268-2.doc,.doc,true,false,1531,0,,,7
testdata\web-samples\samples\doc\000268.doc,.doc,true,false,1531,0,,,5
testdata\web-samples\samples\doc\000273-2.doc,.doc,true,false,5497,1,,,22
testdata\web-samples\samples\doc\000273.doc,.doc,true,false,5497,1,,,21
testdata\web-samples\samples\doc\000274-2.doc,.doc,true,false,3735,1,,,17
testdata\web-samples\samples\doc\000274.doc,.doc,true,false,3735,1,,,13
testdata\web-samples\samples\doc\000275-2.doc,.doc,true,false,5628,0,,,16
testdata\web-samples\samples\doc\000275.doc,.doc,true,false,5628,0,,,12
testdata\web-samples\samples\doc\000276-2.doc,.doc,true,false,44639,1,,,191
testdata\web-samples\samples\doc\000276.doc,.doc,true,false,44639,1,,,186
testdata\web-samples\samples\doc\000277-2.doc,.doc,true,false,0,1,,,2
testdata\web-samples\samples\doc\000277.doc,.doc,true,false,0,1,,,2
testdata\web-samples\samples\doc\000278-2.doc,.doc,true,false,43691,0,,,127
testdata\web-samples\samples\doc\000278.doc,.doc,true,false,43691,0,,,131
testdata\web-samples\samples\doc\000279-2.doc,.doc,true,false,4991,0,,,30
testdata\web-samples\samples\doc\000279.doc,.doc,true,false,4991,0,,,33
testdata\web-samples\samples\doc\000281-2.doc,.doc,true,false,14911,0,,,55
testdata\web-samples\samples\doc\000281.doc,.doc,true,false,14911,0,,,51
testdata\web-samples\samples\doc\000283-2.doc,.doc,true,false,21443,0,,,77
testdata\web-samples\samples\doc\000283.doc,.doc,true,false,21443,0,,,78
testdata\web-samples\samples\doc\000285-2.doc,.doc,true,false,3342,0,,,7
testdata\web-samples\samples\doc\000285.doc,.doc,true,false,3342,0,,,5
testdata\web-samples\samples\doc\000286-2.doc,.doc,true,false,0,3,,,2
testdata\web-samples\samples\doc\000286.doc,.doc,true,false,0,3,,,0
testdata\web-samples\samples\doc\000287-2.doc,.doc,true,false,72437,0,,,203
testdata\web-samples\samples\doc\000287.doc,.doc,true,false,72437,0,,,194
testdata\web-samples\samples\doc\000533-2.doc,.doc,true,false,71540,0,,,236
testdata\web-samples\samples\doc\000533.doc,.doc,true,false,71540,0,,,242
testdata\web-samples\samples\doc\000675-2.doc,.doc,true,false,29793,0,,,73
testdata\web-samples\samples\doc\000675.doc,.doc,true,false,29793,0,,,77
testdata\web-samples\samples\doc\000677-2.doc,.doc,true,false,217987,3,,,2071
testdata\web-samples\samples\doc\000677.doc,.doc,true,false,217987,3,,,2130
testdata\web-samples\samples\doc\000678-2.doc,.doc,true,false,10080,0,,,18
testdata\web-samples\samples\doc\000678.doc,.doc,true,false,10080,0,,,21
testdata\web-samples\samples\doc\000686-2.doc,.doc,true,false,7182,0,,,17
testdata\web-samples\samples\doc\000686.doc,.doc,true,false,7182,0,,,23
testdata\web-samples\samples\doc\000687-2.doc,.doc,true,false,13082,1,,,32
testdata\web-samples\samples\doc\000687.doc,.doc,true,false,13082,1,,,30
testdata\web-samples\samples\doc\000691-2.doc,.doc,true,false,3242,0,,,12
testdata\web-samples\samples\doc\000691.doc,.doc,true,false,3242,0,,,16
testdata\web-samples\samples\doc\000693-2.doc,.doc,true,false,3627,0,,,14
testdata\web-samples\samples\doc\000693.doc,.doc,true,false,3627,0,,,15
testdata\web-samples\samples\doc\000695-2.doc,.doc,true,false,1841,0,,,15
testdata\web-samples\samples\doc\000695.doc,.doc,true,false,1841,0,,,17
testdata\web-samples\samples\doc\000696-2.doc,.doc,true,false,7597,2,,,34
testdata\web-samples\samples\doc\000696.doc,.doc,true,false,7597,2,,,31
testdata\web-samples\samples\doc\000701-2.doc,.doc,true,false,2479,0,,,2
testdata\web-samples\samples\doc\000701.doc,.doc,true,false,2479,0,,,8
testdata\web-samples\samples\doc\000705-2.doc,.doc,true,false,19952,3,,,46
testdata\web-samples\samples\doc\000705.doc,.doc,true,false,19952,3,,,62
testdata\web-samples\samples\doc\000706-2.doc,.doc,true,false,2386,0,,,4
testdata\web-samples\samples\doc\000706.doc,.doc,true,false,2386,0,,,5
testdata\web-samples\samples\doc\000707-2.doc,.doc,true,false,50740,0,,,171
testdata\web-samples\samples\doc\000707.doc,.doc,true,false,50740,0,,,178
testdata\web-samples\samples\doc\000759-2.doc,.doc,true,false,68007,15,,,287
testdata\web-samples\samples\doc\000759.doc,.doc,true,false,68007,15,,,277
testdata\web-samples\samples\doc\000771-2.doc,.doc,true,false,96057,83,,,401
testdata\web-samples\samples\doc\000771.doc,.doc,true,false,96057,83,,,422
testdata\web-samples\samples\doc\000788-2.doc,.doc,true,false,7922,0,,,57
testdata\web-samples\samples\doc\000788.doc,.doc,true,false,7922,0,,,71
testdata\web-samples\samples\doc\000795-2.doc,.doc,true,false,553967,1,,,3442
testdata\web-samples\samples\doc\000795.doc,.doc,true,false,553967,1,,,3249
testdata\web-samples\samples\doc\000796-2.doc,.doc,true,false,56560,0,,,303
testdata\web-samples\samples\doc\000796.doc,.doc,true,false,56560,0,,,297
testdata\web-samples\samples\doc\000799-2.doc,.doc,true,false,50839,0,,,165
testdata\web-samples\samples\doc\000799.doc,.doc,true,false,50839,0,,,152
testdata\web-samples\samples\doc\000801-2.doc,.doc,true,false,129093,63,,,466
testdata\web-samples\samples\doc\000801.doc,.doc,true,false,129093,63,,,473
testdata\web-samples\samples\doc\000802-2.doc,.doc,true,false,163516,0,,,362
testdata\web-samples\samples\doc\000802.doc,.doc,true,false,163516,0,,,373
testdata\web-samples\samples\doc\000804-2.doc,.doc,true,false,100319,0,,,211
