path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,3032,2287,3389,2287|3032|3389
testdata\web-samples\samples\xls\006087.xls,.xls,true,false,290195,0,,,6899,6114,8280,6114|8280|6899
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,8026,7877,9462,8026|7877|9462
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,3719,3410,6246,6246|3410|3719
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,2662,2610,2673,2673|2610|2662
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,2639,2517,2705,2705|2639|2517
