ext,status,name,size_or_detail,source
.docx,error,00000103.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000091.docx,<urlopen error [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] ssl/tls alert handshake failure (_ssl.c:1082)>,msx-13
.docx,bad-sha1,00000075.docx,,msx-13
.docx,bad-sha1,00000094.docx,,msx-13
.docx,ok,00000083.docx,,msx-13
.docx,error,00000097.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000099.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000114.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000086.docx,HTTP Error 404: Not Found,msx-13
.docx,bad-sha1,00000095.docx,,msx-13
.docx,error,00000116.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000105.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000108.docx,<urlopen error [Errno 11002] getaddrinfo failed>,msx-13
.docx,error,00000107.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000117.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000118.docx,<urlopen error [Errno 11002] getaddrinfo failed>,msx-13
.docx,ok,00000113.docx,,msx-13
.docx,bad-sha1,00000109.docx,,msx-13
.docx,error,00000119.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000120.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000127.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000124.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,bad-sha1,00000106.docx,,msx-13
.docx,error,00000090.docx,[WinError 10054] 远程主机强迫关闭了一个现有的连接。,msx-13
.docx,error,00000096.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000130.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000131.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,ok,00000123.docx,,msx-13
.docx,error,00000112.docx,<urlopen error [Errno 11002] getaddrinfo failed>,msx-13
.docx,error,00000098.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000110.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000125.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000121.docx,HTTP Error 406: Not Acceptable,msx-13
.docx,error,00000111.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000133.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000137.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000140.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000115.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000139.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000135.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000129.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000143.docx,HTTP Error 404: Not Found,msx-13
.docx,bad-sha1,00000138.docx,,msx-13
.docx,error,00000142.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000132.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000141.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000150.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000144.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000152.docx,HTTP Error 500: Service unavailable (with message),msx-13
.docx,ok,00000148.docx,,msx-13
.docx,error,00000157.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000149.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000154.docx,HTTP Error 404: Not Found,msx-13
.docx,bad-sha1,00000128.docx,,msx-13
.docx,error,00000158.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000159.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000156.docx,HTTP Error 404: Not Found,msx-13
.docx,ok,00000155.docx,,msx-13
.docx,error,00000153.docx,HTTP Error 404: Not Found,msx-13
